acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid
AHN,Hypothalamus,3,3,1,10,3.1976814789906784,4.0,,,,0,0.6573426573426573,False,,False,4.0,122.0,1000
MM,Hypothalamus,1,1,1,5,8.46957478254679,12.0,,,,0,0.04295704295704296,False,,False,,,0
MPN,Hypothalamus,1,1,0,2,2.2717460048260367,14.0,,,,0,0.5054945054945055,False,,False,,,0
MEPO,Hypothalamus,1,1,1,5,4.005958814844961,18.000000000000004,,,,0,0.08391608391608392,False,,False,,,0
ADP,Hypothalamus,1,1,1,5,3.396451125106343,20.0,,,,0,0.9690309690309691,False,,False,,,0
MPO,Hypothalamus,4,4,3,40,2.2212388089716413,22.0,22.0,,,0,0.02097902097902098,True,0.0605732295873141,False,16.0,22.0,1000
AVP,Hypothalamus,3,3,1,15,2.5437205612908045,24.0,,,,0,0.8141858141858141,False,,False,4.0,112.0,1000
DMH,Hypothalamus,2,2,1,16,2.2696550222565954,40.0,,,,0,0.25274725274725274,False,,False,40.0,94.0,1000
PH,Hypothalamus,7,7,3,24,1.9709698781339626,40.0,,,,0,0.5684315684315684,True,0.6620935882299518,False,4.0,106.0,1000
PMd,Hypothalamus,1,1,0,2,4.43829897559027,50.0,,,,0,0.6063936063936064,False,,False,,,0
TU,Hypothalamus,1,1,1,8,2.6891261531687354,50.0,,,,0,0.43756243756243757,False,,False,,,0
PVHd,Hypothalamus,2,2,0,6,6.217101660331343,52.00000000000001,,,,0,0.08491508491508491,False,,False,10.0,52.00000000000001,1000
PS,Hypothalamus,2,2,2,35,2.0808095827740343,64.0,,,,0,0.3006993006993007,True,0.4165091665091665,False,62.0,122.0,1000
VMH,Hypothalamus,1,1,0,2,3.6886346035804647,64.0,,,,0,0.3336663336663337,False,,False,,,0
PeF,Hypothalamus,3,3,2,28,4.244326575275367,68.0,84.0,,,0,0.03996003996003996,True,0.09102009102009102,False,22.0,68.0,1000
PVH,Hypothalamus,2,2,0,5,3.743057167918505,70.0,,,,0,0.6443556443556444,False,,False,44.0,70.0,1000
LHA,Hypothalamus,14,14,12,166,1.5845758996129131,84.0,124.0,,,0,0.030969030969030968,True,0.07742257742257741,False,80.0,114.0,1000
SUM,Hypothalamus,4,4,1,10,10.308257693427873,102.00000000000001,,,,0,0.04395604395604396,False,,False,4.0,104.00000000000001,1000
PSTN,Hypothalamus,2,2,1,8,5.425508182204657,110.0,132.0,,,0,0.059940059940059943,False,,False,32.0,112.0,1000
ZI,Hypothalamus,44,44,30,352,4.431982752106152,114.0,114.0,,,0,0.000999000999000999,True,0.005688755688755689,True,82.0,136.0,1000
STN,Hypothalamus,3,3,0,6,22.799540732537295,118.00000000000001,118.00000000000001,,,0,0.000999000999000999,False,,False,44.0,124.0,1000
LPO,Hypothalamus,3,3,2,89,5.260434881724216,128.0,128.0,,,0,0.003996003996003996,True,0.017066267066267068,False,4.0,136.0,1000
LM,Hypothalamus,1,1,1,8,3.718655898387942,140.0,,,,0,0.44755244755244755,False,,False,,,0
PERI,Isocortex,5,5,1,36,0.8908763398569941,4.0,,,,0,0.6443556443556444,False,,False,4.0,40.0,1000
VISpl,Isocortex,6,6,3,95,0.8663821002057366,12.0,,,,0,0.955044955044955,True,0.9789210789210788,False,4.0,118.00000000000001,1000
VISC,Isocortex,5,5,2,61,0.9255120421788567,14.0,,,,0,0.33666333666333664,True,0.4510848628495687,False,4.0,142.00000000000003,1000
AUDp,Isocortex,7,7,6,167,1.1158147490185213,22.0,,,,0,0.25874125874125875,True,0.37618409958835497,False,18.000000000000004,140.0,1000
AUDpo,Isocortex,6,6,4,46,1.7210903586802078,32.0,,,,0,0.5814185814185814,True,0.6733944022079614,False,28.0,102.00000000000001,1000
SSp-m,Isocortex,11,11,10,354,0.7195007418591088,48.0,,,,0,0.991008991008991,True,0.9910089910089909,False,34.0,142.00000000000003,1000
VISl,Isocortex,11,11,8,151,2.5180972010330684,48.0,48.0,42.0,52.00000000000001,300,0.004995004995004995,True,0.020077961254431845,False,46.0,130.0,1000
